Model,Algorithm,k,Type,k=2 Time (s),k=X Time (s),Speedup,% Change,t-statistic,p-value
armadillo,bsah,4,k-way,1.0671,1.0342,1.032,-3.1,6.602,3.40e-06***
stanford-bunny,bsah,4,k-way,0.9952,0.9538,1.043,-4.2,11.141,1.65e-07***
suzanne,bsah,4,k-way,1.2395,1.1453,1.082,-7.6,21.342,3.37e-09***
teapot,bsah,4,k-way,0.8942,0.8571,1.043,-4.1,12.137,4.93e-07***
armadillo,median,4,k-way,1.3081,1.246,1.05,-4.7,13.03,3.11e-07***
stanford-bunny,median,4,k-way,1.1769,1.1095,1.061,-5.7,14.783,8.86e-08***
suzanne,median,4,k-way,1.5104,1.4127,1.069,-6.5,16.531,3.92e-08***
teapot,median,4,k-way,1.0803,1.0108,1.069,-6.4,16.551,2.01e-08***
armadillo,sah,4,k-way,1.0417,1.0088,1.033,-3.2,27.073,1.74e-14***
stanford-bunny,sah,4,k-way,0.9728,0.937,1.038,-3.7,40.215,1.38e-18***
suzanne,sah,4,k-way,1.1773,1.0957,1.074,-6.9,74.285,2.92e-20***
teapot,sah,4,k-way,0.8696,0.8394,1.036,-3.5,54.864,1.73e-21***
armadillo,bsah,4,collapsed,1.0671,1.0303,1.036,-3.4,10.426,1.09e-06***
stanford-bunny,bsah,4,collapsed,0.9952,0.9522,1.045,-4.3,12.118,3.23e-07***
suzanne,bsah,4,collapsed,1.2395,1.1454,1.082,-7.6,21.368,3.73e-09***
teapot,bsah,4,collapsed,0.8942,0.8583,1.042,-4.0,11.666,5.79e-07***
armadillo,median,4,collapsed,1.3081,1.2461,1.05,-4.7,12.958,2.88e-07***
stanford-bunny,median,4,collapsed,1.1769,1.1135,1.057,-5.4,10.424,5.24e-09***
suzanne,median,4,collapsed,1.5104,1.4121,1.07,-6.5,16.63,3.65e-08***
teapot,median,4,collapsed,1.0803,1.0105,1.069,-6.5,16.867,3.25e-08***
armadillo,sah,4,collapsed,1.0417,1.0095,1.032,-3.1,27.127,1.13e-14***
stanford-bunny,sah,4,collapsed,0.9728,0.937,1.038,-3.7,32.792,5.44e-17***
suzanne,sah,4,collapsed,1.1773,1.0966,1.074,-6.9,76.759,9.59e-19***
teapot,sah,4,collapsed,0.8696,0.8395,1.036,-3.5,66.097,1.66e-19***
armadillo,bsah,8,k-way,1.0671,1.6509,0.646,54.7,-161.816,1.10e-19***
stanford-bunny,bsah,8,k-way,0.9952,1.4894,0.668,49.7,-138.964,1.46e-17***
suzanne,bsah,8,k-way,1.2395,1.6105,0.77,29.9,-82.872,2.59e-15***
teapot,bsah,8,k-way,0.8942,1.2564,0.712,40.5,-116.779,6.97e-17***
armadillo,median,8,k-way,1.3081,2.0661,0.633,57.9,-157.96,1.82e-17***
stanford-bunny,median,8,k-way,1.1769,1.6448,0.716,39.8,-103.006,2.15e-15***
suzanne,median,8,k-way,1.5104,1.9956,0.757,32.1,-81.139,6.21e-15***
teapot,median,8,k-way,1.0803,1.5336,0.704,42.0,-107.064,1.34e-16***
armadillo,sah,8,k-way,1.0417,1.6146,0.645,55.0,-641.499,2.96e-40***
stanford-bunny,sah,8,k-way,0.9728,1.4826,0.656,52.4,-420.162,1.15e-33***
suzanne,sah,8,k-way,1.1773,1.5678,0.751,33.2,-302.358,1.14e-34***
teapot,sah,8,k-way,0.8696,1.2339,0.705,41.9,-561.159,3.06e-37***
armadillo,bsah,8,collapsed,1.0671,1.6526,0.646,54.9,-166.058,1.74e-18***
stanford-bunny,bsah,8,collapsed,0.9952,1.4908,0.668,49.8,-112.347,7.15e-26***
suzanne,bsah,8,collapsed,1.2395,1.6133,0.768,30.2,-72.445,1.34e-20***
teapot,bsah,8,collapsed,0.8942,1.2575,0.711,40.6,-118.088,1.64e-16***
armadillo,median,8,collapsed,1.3081,2.0679,0.633,58.1,-159.064,3.06e-17***
stanford-bunny,median,8,collapsed,1.1769,1.646,0.715,39.9,-101.441,3.32e-16***
suzanne,median,8,collapsed,1.5104,1.9939,0.758,32.0,-80.991,7.62e-15***
teapot,median,8,collapsed,1.0803,1.5337,0.704,42.0,-108.168,3.95e-16***
armadillo,sah,8,collapsed,1.0417,1.6144,0.645,55.0,-481.267,2.50e-34***
stanford-bunny,sah,8,collapsed,0.9728,1.4824,0.656,52.4,-490.752,4.46e-38***
suzanne,sah,8,collapsed,1.1773,1.5675,0.751,33.1,-385.515,3.19e-25***
teapot,sah,8,collapsed,0.8696,1.2324,0.706,41.7,-494.479,2.36e-33***
armadillo,bsah,16,k-way,1.0671,10.8353,0.098,915.4,-1399.356,6.08e-38***
stanford-bunny,bsah,16,k-way,0.9952,8.0744,0.123,711.3,-1501.141,4.96e-47***
suzanne,bsah,16,k-way,1.2395,7.4572,0.166,501.6,-1098.569,2.04e-43***
teapot,bsah,16,k-way,0.8942,5.6653,0.158,533.6,-1042.544,7.07e-44***
armadillo,median,16,k-way,1.3081,13.5286,0.097,934.2,-1577.248,3.42e-45***
stanford-bunny,median,16,k-way,1.1769,8.5196,0.138,623.9,-1200.632,2.99e-45***
suzanne,median,16,k-way,1.5104,8.959,0.169,493.1,-1105.016,2.88e-36***
teapot,median,16,k-way,1.0803,5.8345,0.185,440.1,-878.676,3.51e-42***
armadillo,sah,16,k-way,1.0417,10.7042,0.097,927.5,-1794.561,5.02e-27***
stanford-bunny,sah,16,k-way,0.9728,8.1343,0.12,736.2,-1737.566,1.70e-27***
suzanne,sah,16,k-way,1.1773,7.2457,0.162,515.5,-1890.557,7.05e-31***
teapot,sah,16,k-way,0.8696,5.6444,0.154,549.1,-2201.354,1.03e-28***
armadillo,bsah,16,collapsed,1.0671,10.8317,0.099,915.1,-1246.617,1.59e-34***
stanford-bunny,bsah,16,collapsed,0.9952,8.0903,0.123,712.9,-812.755,2.09e-30***
suzanne,bsah,16,collapsed,1.2395,7.4515,0.166,501.2,-1227.506,1.21e-37***
teapot,bsah,16,collapsed,0.8942,5.6631,0.158,533.3,-1279.832,2.76e-42***
armadillo,median,16,collapsed,1.3081,13.5332,0.097,934.6,-1477.033,9.59e-43***
stanford-bunny,median,16,collapsed,1.1769,8.5266,0.138,624.5,-1368.387,1.86e-40***
suzanne,median,16,collapsed,1.5104,8.9617,0.169,493.3,-1071.24,1.91e-38***
teapot,median,16,collapsed,1.0803,5.8335,0.185,440.0,-1050.031,2.17e-32***
armadillo,sah,16,collapsed,1.0417,10.6974,0.097,926.9,-1404.694,9.06e-26***
stanford-bunny,sah,16,collapsed,0.9728,8.1438,0.119,737.2,-2762.417,1.06e-31***
suzanne,sah,16,collapsed,1.1773,7.2516,0.162,516.0,-2562.211,1.52e-36***
teapot,sah,16,collapsed,0.8696,5.6447,0.154,549.1,-1970.777,6.23e-28***
